Year,Month,Monthly Precipitation Total (millimetres)
1957,7,179.1
1957,8,81.5
1957,9,84.4
1957,10,74.8
1957,11,63.5
1957,12,11.7
1958,1,7.4
1958,2,4.5
1958,3,34.8
1958,4,16.5
1958,5,265.2
1958,6,24.1
1958,7,189.3
1958,8,176.7
1958,9,182.5
1958,10,190.3
1958,11,19.8
1958,12,13.4
1959,1,1.8
1959,2,56.1
1959,3,51.3
1959,4,8.4
1959,5,21.4
1959,6,27.6
1959,7,88.4
1959,8,111.1
1959,9,71.8
1959,10,44
1959,11,28.4
1959,12,124
1960,1,9.2
1960,2,75.1
1960,3,40.7
1960,4,125.3
1960,5,278.7
1960,6,101.8
1960,7,113.6
1960,8,100.3
1960,9,197.3
1960,10,54.1
1960,11,88.1
1960,12,6.6
1961,1,5.8
1961,2,14.8
1961,3,7.6
1961,4,155.9
1961,5,57.9
1961,6,127.8
1961,7,162.5
1961,8,111.3
1961,9,60.9
1961,10,29.2
1961,11,44.7
1961,12,19.9
1962,1,12.2
1962,2,13.8
1962,3,42.7
1962,4,22.4
1962,5,207.7
1962,6,151.1
1962,7,90.3
1962,8,136.8
1962,9,68.7
1962,10,139.8
1962,11,29.5
1962,12,62.8
1963,1,82.9
1963,2,6.3
1963,3,4.3
1963,4,96.5
1963,5,174.3
1963,6,236.1
1963,7,259.9
1963,8,166.7
1963,9,81.5
1963,10,61.8
1963,11,31.9
1963,12,3.9
1964,1,13.5
1964,2,10.9
1964,3,9.9
1964,4,90.8
1964,5,61.1
1964,6,118.4
1964,7,265
1964,8,112.2
1964,9,137.7
1964,10,132.5
1964,11,121.7
1964,12,31.5
1965,1,1.6
1965,2,0
1965,3,19.5
1965,4,56.2
1965,5,172.4
1965,6,48.1
1965,7,138.1
1965,8,120
1965,9,53.2
1965,10,29.7
1965,11,51.9
1965,12,117.5
1966,1,5.8
1966,2,31
1966,3,88.6
1966,4,25.4
1966,5,137.3
1966,6,137.4
1966,7,228.6
1966,8,128.2
1966,9,162.4
1966,10,62.1
1966,11,45.5
1966,12,112.6
1967,1,26.7
1967,2,63.2
1967,3,12.3
1967,4,13.2
1967,5,53.9
1967,6,37.9
1967,7,159.5
1967,8,108.5
1967,9,74.3
1967,10,40.9
1967,11,5.9
1967,12,31.8
1968,1,86.8
1968,2,65.3
1968,3,72.3
1968,4,114.6
1968,5,328.7
1968,6,133.1
1968,7,159.7
1968,8,267.9
1968,9,64.5
1968,10,223.6
1968,11,115.7
1968,12,70.6
1969,1,18.5
1969,2,154.7
1969,3,30.9
1969,4,80.3
1969,5,118.2
1969,6,60.5
1969,7,183.3
1969,8,85.1
1969,9,118.6
1969,10,5.1
1969,11,54.2
1969,12,54.4
1970,1,91.3
1970,2,0.5
1970,3,32
1970,4,112.2
1970,5,88.3
1970,6,148
1970,7,181
1970,8,231.4
1970,9,107.1
1970,10,17.2
1970,11,50
1970,12,59.8
1971,1,25.6
1971,2,8.4
1971,3,53
1971,4,296.6
1971,5,214.8
1971,6,179.4
1971,7,66.6
1971,8,213.2
1971,9,171.7
1971,10,85.3
1971,11,81.1
1971,12,46.8
1972,1,59.7
1972,2,50.2
1972,3,3.3
1972,4,82.8
1972,5,50.7
1972,6,72.1
1972,7,201.2
1972,8,148.4
1972,9,57.7
1972,10,66.6
1972,11,28.5
1972,12,32.8
1973,1,42
1973,2,64.9
1973,3,46.5
1973,4,126
1973,5,120.8
1973,6,161.6
1973,7,171
1973,8,129
1973,9,165.5
1973,10,131.7
1973,11,46.8
1973,12,80
1974,1,79.4
1974,2,79.2
1974,3,0.4
1974,4,120.9
1974,5,91.6
1974,6,40.8
1974,7,230
1974,8,29
1974,9,157
1974,10,211.6
1974,11,7.4
1974,12,24.8
1975,1,57.4
1975,2,7.2
1975,3,147
1975,4,37
1975,5,206.6
1975,6,51.8
1975,7,177.6
1975,8,99
1975,9,89
1975,10,175
1975,11,27
1975,12,15.2
1976,1,15
1976,2,105
1976,3,3
1976,4,41
1976,5,50
1976,6,108
1976,7,62
1976,8,108
1976,9,80
1976,10,126
1976,11,45
1976,12,29
1977,1,101
1977,2,8
1977,3,85
1977,4,28
1977,5,123
1977,6,122
1977,7,71
1977,8,66
1977,9,88
1977,10,76
1977,11,68
1977,12,29
1978,1,13
1978,2,14
1978,3,14
1978,4,66
1978,5,90
1978,6,172
1978,7,207
1978,8,136
1978,9,132
1978,10,35
1978,11,66
1978,12,43
1979,1,51
1979,2,37
1979,3,23
1979,4,135
1979,5,117
1979,6,44
1979,7,158
1979,8,168
1979,9,319
1979,10,130
1979,11,48
1979,12,54
1980,1,12
1980,2,1
1980,3,1
1980,4,89
1980,5,79
1980,6,195
1980,7,208
1980,8,49
1980,9,53
1980,10,153
1980,11,119
1980,12,35
1981,1,45
1981,2,8
1981,3,114
1981,4,10
1981,5,111
1981,6,346
1981,7,243
1981,8,224
1981,9,82
1981,10,38
1981,11,41
1981,12,51
1982,1,24
1982,2,11
1982,3,92
1982,4,108
1982,5,101
1982,6,113
1982,7,64
1982,8,68
1982,9,55
1982,10,30
1982,11,11
1982,12,16
1983,1,29
1983,2,1
1983,3,88
1983,4,173
1983,5,102
1983,6,54
1983,7,192
1983,8,190
1983,9,149
1983,10,70
1983,11,23
1983,12,34
1984,1,26
1984,2,4
1984,3,67
1984,4,55
1984,5,85
1984,6,67
1984,7,195
1984,8,270
1984,9,102
1984,10,39
1984,11,60
1984,12,17
1985,1,5
1985,2,6
1985,3,84
1985,4,99.6
1985,5,134.2
1985,6,137.9
1985,7,119.6
1985,8,181.4
1985,9,105
1985,10,57.8
1985,11,28
1985,12,59.2
1986,1,7.2
1986,2,6.6
1986,3,1
1986,4,162.6
1986,5,101.4
1986,6,54.6
1986,7,295.6
1986,8,166.6
1986,9,118.8
1986,10,121.1
1986,11,9.8
1986,12,96
1987,1,35.6
1987,2,29.4
1987,3,37.4
1987,4,47.2
1987,5,207.7
1987,6,181.4
1987,7,209.8
1987,8,88
1987,9,39.2
1987,10,88.6
1987,11,19.8
1987,12,54.4
1988,1,25.6
1988,2,27.4
1988,3,24.4
1988,4,30.3
1988,5,236.8
1988,6,164.6
1988,7,144
1988,8,84.6
1988,9,95.4
1988,10,37.2
1988,11,60.1
1989,8,65.4
1989,9,112
1989,10,80.8
1989,11,45.6
1989,12,32.4
1990,1,13
1990,2,25.2
1990,3,0.6
1990,4,31
1990,5,31.8
1990,6,199.8
1990,7,195.8
1990,8,206
1990,9,80.4
1990,10,93.5
1990,11,35
1990,12,75.2
1991,1,22.2
1991,2,0
1991,3,16.4
1991,4,62.6
1991,5,36.4
1991,6,204
1991,7,176.2
1991,8,207.8
1991,9,195.4
1991,10,9.2
1991,11,41.4
1991,12,12.2
1992,1,9.4
1992,2,16.2
1992,3,116.6
1992,4,66.6
1992,5,127.4
1992,6,159.6
1992,7,147.2
1992,8,284.2
1992,9,264
1992,10,148.4
1992,11,163
1992,12,168.2
1993,1,37.8
1993,2,56.6
1993,3,30.6
1993,4,5
1993,5,66.8
1993,6,96.4
1993,7,132
1993,8,100
1993,9,99
1993,10,107.4
1993,11,37.8
1993,12,131.4
1994,1,96
1994,2,19.4
1994,3,0
1994,4,32.8
1994,5,75.4
1994,6,174.4
1994,7,78.9
1994,8,51.2
1994,9,45
1994,10,95
1994,11,124.6
1994,12,10.8
1995,1,45.4
1995,2,33.8
1995,3,14.4
1995,4,71.2
1995,5,153.8
1995,6,147.2
1995,7,336.8
1995,8,63.8
1995,9,70.6
1995,10,56
1995,11,28.6
1995,12,12.2
1996,1,77.6
1996,2,19
1996,3,52.2
1996,4,77.8
1996,5,33.6
1996,6,270.8
1996,7,214.2
1996,8,244.1
1996,9,184.6
1996,10,55.6
1996,11,6
1996,12,21
1997,1,26.8
1997,2,32.6
1997,3,8.8
1997,4,9
1997,5,109
1997,6,70.8
1997,7,62.8
1997,8,206.2
1997,9,131.8
1997,10,91.8
1997,11,51.4
1997,12,31.4
1998,1,7.8
1998,2,30.2
1998,3,15.4
1998,4,194.8
1998,5,40.4
1998,6,157
1998,7,151
1998,8,115.9
1998,9,84.1
1998,10,85.4
1998,11,50.6
1998,12,14.2
1999,1,17.6
1999,2,6.2
1999,3,96.4
1999,4,14.4
1999,5,305
1999,6,144.8
1999,8,80.4
1999,9,130.4
1999,10,84.4
1999,11,45.2
1999,12,86
2000,1,10.4
2000,2,108
2000,3,42.4
2000,4,127.2
2000,5,162.4
2000,6,167.4
2000,7,118.8
2000,8,148.6
2000,9,161.2
2000,10,148.8
2000,11,28.6
2000,12,20.2
2001,1,23.6
2001,2,12
2001,3,106.8
2001,4,48.2
2001,5,146.8
2001,6,162.2
2001,7,123.8
2001,8,171.2
2001,9,170.2
2001,10,162.8
2001,11,75.2
2001,12,36.2
2002,1,38.4
2002,2,6
2002,3,20.4
2002,4,20.2
2002,5,124.2
2002,6,142.6
2002,7,136
2002,8,69.2
2002,9,97.2
2002,10,62.6
2002,11,56.1
2002,12,39.8
2003,1,36
2003,2,74.8
2003,4,55.2
2003,5,136.4
2003,6,241.8
2003,8,173.2
2003,9,150.2
2003,10,98.6
2003,11,17.6
2003,12,44
2004,1,21.3
2004,2,6.4
2004,3,44.4
2004,4,25.8
2004,5,130.5
2004,6,257.8
2004,7,195.4
2004,8,220.6
2004,9,115.8
2004,10,12
2004,12,68.3
2005,1,42.5
2005,2,51.9
2005,3,13
2005,4,8.8
2005,5,14.8
2005,6,227.1
2005,7,118.2
2005,8,176.4
2005,9,97.7
2005,10,203.4
2005,11,185.4
2005,12,68
2006,1,33.4
2006,2,29.2
2006,3,30.2
2006,4,105.8
2006,5,162.4
2006,6,51
2006,7,164.4
2006,8,42.2
2006,9,61.9
2006,10,2.6
2006,11,35.1
2006,12,35.8
2007,1,86.6
2007,2,0.1
2007,3,39.1
2007,4,157.2
2007,5,152.3
2007,6,142.7
2007,7,170
2007,8,67.6
2007,9,66.4
2007,10,48.2
2007,11,39.8
2007,12,61.2
2008,1,10.4
2008,2,10.2
2008,3,32.2
2008,4,82.7
2008,5,178.8
2008,6,57.3
2008,7,261.5
2008,8,184.6
2008,9,50.2
2008,10,28.6
2008,11,22.6
2008,12,47.6
2009,1,1.2
2009,2,0.8
2009,3,51.8
2009,4,140.6
2009,5,117.4
2009,6,138.8
2009,7,256.6
2009,8,140.6
2009,9,133.8
2009,10,66.8
2009,11,83.2
2009,12,30.8
2010,1,18.8
2010,2,9.6
2010,3,40.4
2010,4,86.4
2010,5,116.4
2010,6,150.6
2010,7,121.6
2010,8,289.6
2010,9,152.2
2010,10,43.2
2010,11,32.4
2010,12,123.6
2011,1,18
2011,2,74.2
2011,3,157
2011,4,29.8
2011,5,114.8
2011,6,105.6
2011,7,144.6
2011,8,123
2011,9,107.2
2011,10,59.8
2011,11,31.6
2011,12,53.2
2012,1,28.2
2012,2,33.8
2012,3,70
2012,4,51.8
2012,5,117.6
2012,6,212.1
2012,7,112
2012,8,138
2012,9,57.8
2012,10,31
2012,11,11.6
2012,12,18
2013,1,16.8
2013,2,13.2
2013,3,40.4
2013,4,76.8
2013,5,88.8
2013,6,153.2
2013,7,293.6
2013,8,241.6
2013,9,122.6
2013,10,70.4
2013,11,20.8
2013,12,32.2
2014,1,23
2014,2,123.9
2014,3,50.7
2014,4,61
2014,5,109
2014,6,222
2014,7,261.4
2014,8,42
2014,9,52.9
2014,10,11.4
2014,11,34.2
2014,12,18
2015,1,93.2
2015,2,0
2015,3,18.8
2015,4,125.8
2015,5,168.4
2015,6,63.5
2015,7,175.6
2015,8,128.2
2015,9,91.5
2015,10,32.2
2015,11,21.8
2015,12,20.4
2016,1,101.8
2016,2,34.8
2016,3,51.2
2016,4,18.4
2016,5,224.4
2016,6,216.6
2016,7,252.2
2016,8,132.2
2016,9,360.9
2016,10,182.5
2016,11,52.6
2016,12,163
2017,1,56.6
2017,2,45.4
2017,3,32.4
2017,4,82
2017,5,104.8
2017,6,20
2017,7,298
2017,8,210
2017,9,150.2
2017,10,64.4
2017,11,39.2
2017,12,49.8
2018,1,19.8
2018,2,14
2018,3,16.2
2018,4,93.5
2018,5,103.8
2018,6,150.2
2018,7,119
2018,8,214.8
2018,9,38.8
2018,10,65.6
2018,11,83.6
2018,12,45.6
2019,1,0.4
2019,2,25
2019,3,14.8
2019,4,10.8
2019,5,154.2
2019,6,138
2019,7,133.8
2019,8,126.8
2019,9,81.2
2019,10,44.8
2019,11,27.8
2019,12,38.4
2020,1,55.4
2020,2,65.4
2020,3,8.6
2020,4,141.2
2020,5,130.4
2020,6,205.6
2020,7,64.2
2020,8,126.2
2020,9,131.4
2020,10,115.8
2020,11,35.6
2020,12,30.6
2021,1,28.6
2021,2,60.2
2021,3,22.4
2021,4,36.8
2021,5,81
2021,6,228.8
